Wall time,Step,Value
1681482608.557708,781,84.76560974121094
1681482623.891284,1563,34.598533630371094
1681482639.1897957,2345,28.279834747314453
1681482654.3683605,3127,23.02310562133789
1681482669.611165,3909,18.890132904052734
1681482684.8435574,4691,15.64889144897461
1681482700.1150649,5473,13.47049331665039
1681482715.32275,6255,11.612214088439941
1681482730.4309676,7037,10.360628128051758
1681482745.4941978,7819,9.30953598022461
1681482760.7427034,8601,8.471395492553711
1681482776.1373632,9383,7.853989601135254
1681482791.4850602,10165,7.252285480499268
1681482806.8197553,10947,6.6755523681640625
1681482822.0874772,11729,6.204916477203369
1681482837.3518603,12511,5.812063217163086
1681482852.552633,13293,5.451076030731201
1681482868.0530572,14075,5.189991474151611
1681482883.278684,14857,4.928315162658691
1681482898.6764002,15639,4.675047397613525
1681482913.9257061,16421,4.434267044067383
1681482929.1315289,17203,4.254388332366943
1681482944.3316786,17985,4.08975887298584
1681482959.711044,18767,3.9416637420654297
1681482974.8652449,19549,3.7979319095611572
1681482990.2531888,20331,3.695634603500366
1681483005.4706242,21113,3.5749435424804688
1681483020.9310973,21895,3.4470396041870117
1681483036.235723,22677,3.347381353378296
1681483051.6248136,23459,3.2493786811828613
1681483066.8292985,24241,3.1862878799438477
1681483082.1969438,25023,3.0907485485076904
1681483097.706884,25805,3.0325050354003906
1681483112.76562,26587,2.959094762802124
1681483128.0819085,27369,2.8998475074768066
1681483143.2547657,28151,2.831381320953369
1681483158.539731,28933,2.790739059448242
1681483173.7041912,29715,2.7302260398864746
1681483188.8470526,30497,2.6672425270080566
1681483203.9583323,31279,2.6118297576904297
1681483219.0926206,32061,2.573286294937134
1681483234.176173,32843,2.5122554302215576
1681483249.3408403,33625,2.477376937866211
1681483264.49113,34407,2.4204442501068115
1681483279.8751283,35189,2.3928756713867188
1681483295.2346337,35971,2.340304374694824
1681483310.3377454,36753,2.3043081760406494
1681483325.523729,37535,2.281198024749756
1681483340.7706995,38317,2.2533860206604004
1681483355.9621205,39099,2.2216641902923584
1681483371.2321024,39881,2.1804466247558594
1681483386.4744086,40663,38.68726348876953
1681483401.5944695,41445,16.416059494018555
1681483416.8834913,42227,12.10888671875
1681483432.022711,43009,10.011070251464844
1681483447.347387,43791,9.154263496398926
1681483462.482673,44573,8.581283569335938
1681483477.7407064,45355,8.032670021057129
1681483493.1227741,46137,7.546603679656982
1681483508.433643,46919,7.1408820152282715
1681483523.8835912,47701,6.856428146362305
1681483539.194068,48483,6.636877059936523
1681483554.4642866,49265,6.258122444152832
1681483569.794703,50047,5.8899993896484375
1681483585.0345697,50829,5.599780082702637
1681483600.3144207,51611,5.351474285125732
1681483615.6592817,52393,5.110741138458252
1681483630.7633288,53175,4.883801460266113
1681483646.16054,53957,4.61803674697876
1681483661.5803843,54739,4.320305824279785
1681483676.8003926,55521,4.085511684417725
1681483692.2833982,56303,3.8901193141937256
1681483707.5746775,57085,3.724898099899292
1681483722.912035,57867,3.59201979637146
1681483738.2100232,58649,3.451523780822754
1681483753.384537,59431,3.373206853866577
1681483768.8556082,60213,3.29032301902771
1681483784.1157746,60995,3.2511727809906006
1681483799.4900684,61777,3.157235622406006
1681483815.0190196,62559,3.1196024417877197
1681483830.2692518,63341,3.0470778942108154
1681483845.6843305,64123,2.995915651321411
1681483861.286824,64905,2.961895704269409
1681483876.807936,65687,2.879366636276245
1681483892.102539,66469,2.859788656234741
1681483907.1984987,67251,2.777942419052124
1681483922.6461627,68033,2.7448055744171143
1681483937.9602811,68815,2.6952269077301025
1681483953.0699697,69597,2.652099132537842
1681483968.4486935,70379,2.5969576835632324
1681483983.6118917,71161,2.5533220767974854
1681483998.7322202,71943,2.531865358352661
1681484014.0330608,72725,2.492058515548706
1681484029.3691044,73507,2.4746251106262207
1681484044.7704706,74289,2.4281351566314697
1681484060.000319,75071,2.4341518878936768
1681484075.250599,75853,2.3901920318603516
1681484090.4139378,76635,2.352541446685791
1681484105.6560693,77417,2.334359884262085
1681484121.042986,78199,2.344176769256592
1681484136.2376623,78981,2.3103291988372803
1681484151.5438626,79763,2.309221029281616
1681484166.8750103,80545,2.257474422454834
1681484182.152625,81327,2.2622294425964355
1681484197.2648938,82109,2.238281011581421
1681484212.8033037,82891,2.2464118003845215
1681484227.9775193,83673,2.195326328277588
1681484243.2854335,84455,2.2019052505493164
1681484258.327324,85237,2.185563325881958
1681484273.6692786,86019,2.169410228729248
1681484288.9548109,86801,2.236112117767334
1681484304.3904262,87583,2.1022214889526367
1681484319.6246183,88365,2.127823829650879
1681484334.928938,89147,2.1217896938323975
1681484350.3058739,89929,2.1047072410583496
1681484365.5343432,90711,2.1060678958892822
1681484380.7542155,91493,2.08149790763855
1681484396.0586035,92275,2.0824577808380127
1681484411.2445683,93057,2.066760540008545
1681484426.4528835,93839,2.0590672492980957
1681484441.7320528,94621,2.04996657371521
1681484457.1500032,95403,2.018686532974243
1681484472.4004776,96185,2.028188705444336
1681484487.5548348,96967,2.0048673152923584
1681484502.8590653,97749,38.746299743652344
1681484518.0767925,98531,22.47325325012207
1681484533.3933055,99313,16.684574127197266
1681484548.7146459,100095,14.766587257385254
1681484563.9134736,100877,13.778407096862793
1681484579.0997825,101659,13.163829803466797
1681484594.1597757,102441,12.638851165771484
1681484609.4916193,103223,12.24689769744873
1681484624.5592175,104005,11.922987937927246
1681484639.9611435,104787,11.508219718933105
1681484655.1293726,105569,10.920293807983398
1681484670.2522593,106351,10.573538780212402
1681484685.477541,107133,10.29140853881836
1681484700.6584008,107915,9.88623332977295
1681484715.6903415,108697,9.094820022583008
1681484730.9416008,109479,8.670437812805176
1681484746.0644715,110261,8.406726837158203
1681484761.3918822,111043,7.75804328918457
1681484776.6573088,111825,7.027196407318115
1681484791.7946303,112607,6.6460041999816895
1681484806.8408265,113389,6.132405757904053
1681484822.01953,114171,5.726757049560547
1681484837.1426706,114953,5.445694923400879
1681484852.1070576,115735,5.158087253570557
1681484867.2956002,116517,4.8294806480407715
1681484884.705308,117299,4.511846542358398
1681484900.9400887,118081,4.124173641204834
1681484916.7197118,118863,3.8635218143463135
1681484932.1747983,119645,3.6891286373138428
1681484947.9894924,120427,11.076844215393066
1681484963.3681993,121209,49.92802429199219
1681484978.9348974,121991,20.766435623168945
1681484994.3140473,122773,19.15342903137207
1681485009.866094,123555,18.46156883239746
1681485025.1418474,124337,18.03546905517578
1681485040.521488,125119,17.75324821472168
1681485055.8574111,125901,17.514190673828125
1681485071.2449586,126683,35.884395599365234
1681485086.458678,127465,24.979944229125977
1681485102.1467874,128247,18.915319442749023
1681485117.5102336,129029,18.071863174438477
1681485132.9125712,129811,17.709129333496094
1681485148.506453,130593,17.511995315551758
1681485163.9775708,131375,17.370849609375
1681485179.3466642,132157,17.20487403869629
1681485194.8611207,132939,17.0673885345459
1681485210.6664956,133721,16.983264923095703
1681485226.1353037,134503,16.80215072631836
1681485241.6293657,135285,16.728254318237305
1681485256.8115568,136067,16.681720733642578
1681485272.0762005,136849,16.511411666870117
1681485287.3929777,137631,15.89245891571045
