Wall time,Step,Value
1681482627.2363284,781,85.56690216064453
1681482747.4471984,1563,35.60594940185547
1681482867.7708092,2345,29.418270111083984
1681482988.1250994,3127,26.13770294189453
1681483108.3603094,3909,21.808631896972656
1681483228.7105632,4691,19.007673263549805
1681483349.0686526,5473,15.774981498718262
1681483469.485366,6255,13.589859008789062
1681483589.8729038,7037,11.974867820739746
1681483710.2296293,7819,10.737411499023438
1681483830.5773711,8601,9.80048656463623
1681483951.0020833,9383,9.011198997497559
1681484071.4290679,10165,8.422979354858398
1681484191.7812028,10947,7.8312907218933105
1681484312.106223,11729,7.4380364418029785
1681484432.597725,12511,6.992551326751709
1681484553.012477,13293,6.628204345703125
1681484673.2334125,14075,6.241825103759766
1681484793.6362026,14857,5.909506797790527
1681484914.0033507,15639,5.633331298828125
1681485034.331227,16421,5.348523139953613
1681485154.672094,17203,5.070791721343994
1681485274.9916418,17985,4.86778450012207
1681485395.30774,18767,4.68127965927124
1681485515.5843308,19549,4.486885070800781
1681485636.0388815,20331,4.352406024932861
1681485756.3605893,21113,4.1644392013549805
1681485876.664602,21895,4.057568073272705
1681485997.0165074,22677,3.9185149669647217
1681486117.2532058,23459,3.824773073196411
1681486237.497975,24241,3.7330129146575928
1681486357.738329,25023,3.615021228790283
1681486478.0074394,25805,3.521636486053467
1681486598.2904494,26587,3.4526400566101074
1681486718.6157527,27369,3.3254446983337402
1681486838.931762,28151,3.290313720703125
1681486959.2777627,28933,3.1680545806884766
1681487079.592204,29715,3.120331048965454
1681487199.938524,30497,3.0508153438568115
1681487320.3491452,31279,2.9892799854278564
1681487440.6962998,32061,2.9251298904418945
1681487561.0685318,32843,2.8906409740448
1681487681.389094,33625,2.8300130367279053
1681487801.7180986,34407,2.7936205863952637
1681487922.0126557,35189,2.740509271621704
1681488042.306595,35971,2.701986789703369
1681488162.5696654,36753,2.6530213356018066
1681488282.8705006,37535,2.6161251068115234
1681488403.2349865,38317,2.5565547943115234
1681488523.6516392,39099,2.5377793312072754
1681488643.9506068,39881,2.4864425659179688
1681488764.1518676,40663,2.4443023204803467
1681488884.4977672,41445,2.4050452709198
1681489005.0232198,42227,2.367981195449829
1681489125.452032,43009,2.3369812965393066
1681489245.9136493,43791,2.311971664428711
1681489366.4375014,44573,2.271481990814209
1681489486.7126849,45355,2.256775379180908
1681489607.0778098,46137,116.06014251708984
1681489727.45466,46919,1046.426025390625
1681489847.8599176,47701,1046.42724609375
1681489968.199555,48483,1046.426025390625
1681490088.5085096,49265,1046.42578125
1681490208.8761458,50047,1046.4259033203125
1681490329.2042623,50829,1046.42626953125
1681490449.6043963,51611,1046.4251708984375
1681490570.060937,52393,1046.426025390625
1681490690.5752974,53175,1046.42626953125
1681490811.078095,53957,1046.4256591796875
1681490931.5979388,54739,1046.4256591796875
1681491051.9070387,55521,1046.4254150390625
1681491172.2291727,56303,1046.4256591796875
1681491292.5275607,57085,1046.426025390625
1681491412.8504114,57867,1046.426025390625
1681491533.1466858,58649,1046.426513671875
1681491653.4450915,59431,1046.426025390625
1681491773.7958279,60213,1046.425537109375
1681491894.1068685,60995,1046.42529296875
1681492014.4185321,61777,1046.42578125
1681492134.8288212,62559,1046.4251708984375
1681492255.291134,63341,1046.425048828125
1681492375.6170654,64123,1046.426025390625
1681492495.9429493,64905,1046.4266357421875
1681492616.3426535,65687,1046.4259033203125
1681492736.7211957,66469,1046.426513671875
1681492856.993771,67251,1046.4263916015625
1681492977.2565272,68033,1046.426025390625
1681493097.6232655,68815,1046.4261474609375
1681493217.9526625,69597,1046.4256591796875
1681493338.2156994,70379,1046.4254150390625
1681493458.6155508,71161,1046.4263916015625
1681493578.8548808,71943,1046.425537109375
1681493699.298947,72725,1046.4256591796875
1681493819.7503011,73507,1046.4256591796875
1681493940.3501086,74289,1046.426025390625
1681494060.794439,75071,1046.4268798828125
1681494181.0111322,75853,1046.42626953125
1681494301.2441726,76635,1046.4256591796875
1681494421.5367827,77417,1046.4266357421875
1681494541.7913017,78199,1046.425537109375
1681494662.1107614,78981,1046.426025390625
1681494782.3998704,79763,1046.42626953125
1681494902.671601,80545,1046.42578125
1681495023.1984565,81327,1046.42529296875
1681495143.5080197,82109,1046.426513671875
1681495263.9725673,82891,1046.42529296875
1681495384.321403,83673,1046.42578125
1681495504.693929,84455,1046.4266357421875
1681495625.0589275,85237,1046.4256591796875
1681495745.474478,86019,1046.4256591796875
1681495865.8224323,86801,1046.4259033203125
1681495986.0374892,87583,1046.426513671875
1681496106.3717935,88365,1046.4263916015625
1681496226.814555,89147,1046.4256591796875
1681496347.3087249,89929,1046.42578125
1681496467.7141716,90711,1046.42578125
1681496588.0417988,91493,1046.425048828125
1681496708.4182236,92275,1046.42578125
1681496826.857779,93057,1046.426025390625
