BUSH
SESSIONS
SHELBY
MURKOWSKI
STEVENS
KYL
MCCAIN
PRYOR
LINCOLN
BOXER
FEINSTEIN
ALLARD
SALAZAR
DODD
LIEBERMAN
BIDEN
CARPER
MARTINEZ
NELSON
CHAMBLISS
ISAKSON
AKAKA
INOUYE
CRAIG
CRAPO
DURBIN
OBAMA
BAYH
LUGAR
GRASSLEY
HARKIN
BROWNBACK
ROBERTS
BUNNING
MCCONNELL
VITTER
LANDRIEU
COLLINS
SNOWE
MIKULSKI
SARBANES
KENNEDY  ED
KERRY  JOHN
STABENOW
LEVIN  CARL
DAYTON
COLEMAN
COCHRAN
LOTT
TALENT
BOND
BAUCUS
BURNS
HAGEL
NELSON  BEN
ENSIGN
REID
GREGG
SUNUNU
CORZINE
MENENDEZ
LAUTENBERG
BINGAMAN
DOMENICI
CLINTON
SCHUMER
BURR
DOLE
CONRAD
DORGAN
DEWINE
VOINOVICH
INHOFE
COBURN
SMITH  GORD
WYDEN
SANTORUM
SPECTER
CHAFEE
REED
DEMINT
GRAHAM
THUNE
JOHNSON
FRIST
ALEXANDER
CORNYN
HUTCHISON
BENNETT
HATCH
JEFFORDS
LEAHY
ALLEN
WARNER
CANTWELL
MURRAY
BYRD  ROBER
ROCKEFELLER
FEINGOLD
KOHL
ENZI
THOMAS
