Model Name,Epoch,Batch Size,Learning Rate,Train Loss,Test Loss,Train Accuracy,Test Accuracy
simple_FC_FF_NN,0,64,0.001,2.2801885378640345,2.2534999498136483,15.755,30.49
simple_FC_FF_NN,1,64,0.001,2.221845998438691,2.1804682509914324,45.836666666666666,58.77
simple_CNN,0,64,0.001,2.2694159672458545,2.210176358557052,24.565,44.6
simple_CNN,1,64,0.001,2.059787989806519,1.7810114371548793,61.95166666666667,70.58
simple_CNN,0,64,0.001,2.258845822897547,2.1920251102204533,23.23,43.32
simple_CNN,1,64,0.001,2.0017045544408787,1.6492040992542436,61.06333333333333,74.16
simple_CNN,2,64,0.001,1.1400836748100802,0.7290351618627074,77.77166666666666,83.03
simple_CNN,3,64,0.001,0.6161768903800928,0.4996002215868348,84.07333333333334,86.76
simple_CNN,4,64,0.001,0.4771927432941475,0.4205235912921322,86.82833333333333,87.87
simple_FC_FF_NN,0,64,0.001,2.287421218367782,2.2659990666018928,22.1,37.29
simple_FC_FF_NN,1,64,0.001,2.241658631164128,2.210394306547323,47.05833333333334,54.06999999999999
simple_FC_FF_NN,2,64,0.001,2.171543015600013,2.118452829919803,58.14333333333334,60.38
simple_FC_FF_NN,3,64,0.001,2.050042476481212,1.9559868786745007,62.17333333333334,65.36999999999999
simple_FC_FF_NN,4,64,0.001,1.8429583642782688,1.693780574069661,66.645,68.39
simple_FC_FF_NN,5,64,0.001,1.5474607143829118,1.3707508888973552,69.975,73.58
simple_FC_FF_NN,6,64,0.001,1.2431352409853864,1.092491581561459,75.30666666666667,78.03999999999999
simple_FC_FF_NN,7,64,0.001,1.0104345122634222,0.9005236974947012,78.65833333333333,80.4
simple_FC_FF_NN,8,64,0.001,0.8525429101768078,0.7731112632781837,80.68833333333333,81.96
simple_FC_FF_NN,9,64,0.001,0.7445786559759681,0.6843915634853824,82.06666666666666,83.15
simple_CNN,0,64,0.001,2.2147104564760287,2.083778382866246,36.97166666666667,62.79
simple_CNN,1,64,0.001,1.7168267730202502,1.18464689953312,69.83833333333334,77.75
simple_CNN,2,64,0.001,0.857089728752433,0.6226742778234421,79.89833333333334,84.07
simple_CNN,3,64,0.001,0.5590433988299197,0.4786590768653116,84.86,87.01
simple_CNN,4,64,0.001,0.4627189435589034,0.415257273585933,86.98666666666666,88.05
simple_CNN,5,64,0.001,0.4145545396628156,0.3764942633877894,88.13,89.16
simple_CNN,6,64,0.001,0.3836284595797819,0.3510066949448008,88.83666666666666,90.02
simple_CNN,7,64,0.001,0.3608075674138725,0.3324451512022383,89.42666666666666,90.4
simple_CNN,8,64,0.001,0.342415179382128,0.3178759262819958,90.03,91.01
simple_CNN,9,64,0.001,0.3271398658294286,0.2977991087516402,90.435,91.55
simple_FC_FF_NN,0,50,5e-05,2.303848954660298,2.3030838313376067,10.338333333333333,11.35
simple_FC_FF_NN,1,50,5e-05,2.3017338994723646,2.3009761123900203,12.311666666666667,13.55
simple_FC_FF_NN,2,50,5e-05,2.299618651617819,2.298844749001181,14.416666666666666,15.809999999999999
simple_FC_FF_NN,3,50,5e-05,2.297503192287518,2.2966841269450584,16.698333333333334,18.360000000000003
simple_FC_FF_NN,4,50,5e-05,2.2953849779263233,2.2944694491708355,19.03333333333333,20.68
simple_FC_FF_NN,5,50,5e-05,2.293258315464581,2.2923548449376585,21.325,22.55
simple_FC_FF_NN,6,50,5e-05,2.291130794899296,2.2900958562352853,23.358333333333334,24.57
simple_FC_FF_NN,7,50,5e-05,2.2889839985223213,2.287914790924947,25.308333333333334,26.169999999999998
simple_FC_FF_NN,8,50,5e-05,2.2868463197496656,2.285688652354441,27.115000000000002,27.88
simple_FC_FF_NN,9,50,5e-05,2.2846629820398685,2.28348206866319,28.686666666666667,29.330000000000002
simple_FC_FF_NN,10,50,5e-05,2.2824944712714093,2.281262192756507,30.098333333333333,30.78
simple_FC_FF_NN,11,50,5e-05,2.2802934697441963,2.2790911000245697,31.42666666666667,32.17
simple_FC_FF_NN,12,50,5e-05,2.278070118127347,2.2768741884049337,32.538333333333334,33.269999999999996
simple_FC_FF_NN,13,50,5e-05,2.2758160941382206,2.2744604660447236,33.681666666666665,34.22
simple_FC_FF_NN,14,50,5e-05,2.273554160142504,2.272166873239408,34.66833333333334,35.07
simple_FC_FF_NN,15,50,5e-05,2.271250909833766,2.269650533700445,35.52333333333333,36.15
simple_FC_FF_NN,16,50,5e-05,2.2689285374907797,2.2673683029830833,36.288333333333334,36.88
simple_FC_FF_NN,17,50,5e-05,2.2665660760041746,2.264970059607439,36.97666666666667,37.59
simple_FC_FF_NN,18,50,5e-05,2.2641775730067986,2.262581117593559,37.693333333333335,38.22
simple_FC_FF_NN,19,50,5e-05,2.26175501529596,2.259879273214158,38.365,38.95
