Model Name,Epoch,Batch Size,Learning Rate,Train Loss,Test Loss,Train Accuracy,Test Accuracy,Time
CNN_VGG16,0,64,0.0001,4.474359239763616,4.304201153433247,1.54,1.95,28.86901450157165
CNN_VGG16,1,64,0.0001,4.214614137054404,4.137533594848244,2.664,3.3000000000000003,58.44831442832947
CNN_VGG16,2,64,0.0001,4.032762340877367,3.946587393997581,4.3740000000000006,6.17,86.78943872451782
CNN_VGG16,3,64,0.0001,3.890390736062813,3.860688909603532,6.048,6.79,117.08050441741943
CNN_VGG16,4,64,0.0001,3.759598584736095,3.713782108513413,8.022,9.11,146.91423773765564
CNN_VGG16,5,64,0.0001,3.5624052953842047,3.470494514817645,10.648,12.83,176.83804559707642
CNN_VGG16,6,64,0.0001,3.331320726048306,3.332262974635811,14.966,16.49,206.6840233802796
CNN_VGG16,7,64,0.0001,3.1494824474729843,3.148505260989924,18.268,19.55,236.55871438980105
CNN_VGG16,8,64,0.0001,2.9926672567187063,3.060128139082793,21.53,21.36,266.5943067073822
CNN_VGG16,9,64,0.0001,2.8295422438770306,2.9449204426662177,24.726,23.49,296.5722801685333
CNN_VGG16,10,64,0.0001,2.6879205609221595,2.9328283519501896,27.616000000000003,24.0,326.3725664615631
CNN_VGG16,11,64,0.0001,2.547136838326369,3.0368567682375573,30.474,25.35,356.22568559646606
CNN_VGG16,12,64,0.0001,2.4084060894863684,2.8257243769943337,33.394,27.97,385.9577491283417
CNN_VGG16,13,64,0.0001,2.2754145461275144,2.7532098900740314,36.304,29.54,415.7045223712921
CNN_VGG16,14,64,0.0001,2.1331850332982096,2.7880197740664148,39.366,30.35,445.5158891677856
CNN_VGG16,15,64,0.0001,1.9979531614067,2.8477475506484886,42.55,31.36,475.38054370880127
CNN_VGG16,16,64,0.0001,1.862893548158124,2.8231766421324127,45.31,32.35,505.1765234470368
CNN_VGG16,17,64,0.0001,1.7210279270206266,2.994917954608893,48.7,32.15,535.1257753372192
CNN_VGG16,18,64,0.0001,1.600973819146681,3.048321215210447,51.63,33.14,564.8277804851532
CNN_VGG16,19,64,0.0001,1.4757418694246152,3.11418230518414,54.956,33.7,594.5522723197937
CNN_VGG16,20,64,0.0001,1.3541704277553217,3.253302516451307,58.14,33.76,624.3788230419159
CNN_VGG16,21,64,0.0001,1.2399685326439644,3.3312972897936586,61.14000000000001,33.96,654.0926904678345
CNN_VGG16,22,64,0.0001,1.1386340005166085,3.642333338974388,63.93600000000001,34.67,683.9306864738464
CNN_VGG16,23,64,0.0001,1.0605720945483887,3.7621127693516434,66.422,34.0,713.7343080043793
CNN_VGG16,24,64,0.0001,0.9717808266734832,3.7368467324858257,69.06400000000001,35.07,743.5913374423981
CNN_VGG16,25,64,0.0001,0.8861965230663719,3.96888251669088,71.45,35.5,773.3502802848816
CNN_VGG16,26,64,0.0001,0.8186991777261505,3.9937935376622873,73.572,34.84,803.2342851161957
CNN_VGG16,27,64,0.0001,0.7526989934008445,4.211216003272184,75.76,34.99,832.9784898757935
CNN_VGG16,28,64,0.0001,0.6884057179207692,4.391987392097522,77.74,36.09,861.1467254161835
CNN_VGG16,29,64,0.0001,0.6377112865829102,4.453703632779941,79.4,36.13,891.4220209121704
CNN_VGG16,30,64,0.0001,0.5793349797196705,4.577031598728933,81.26,36.09,920.9403448104858
CNN_VGG16,31,64,0.0001,0.524275131904713,4.535273644574888,83.104,35.75,950.4963154792786
CNN_VGG16,32,64,0.0001,0.4909507768119083,4.9863600533479335,84.098,35.67,980.1376144886016
CNN_VGG16,33,64,0.0001,0.4514818446296255,4.909488064468286,85.442,36.07,1009.6949911117554
CNN_VGG16,34,64,0.0001,0.4222951500731356,5.287441783649906,86.3,35.22,1039.2820312976835
CNN_VGG16,35,64,0.0001,0.4078846895481314,5.194579484356437,86.906,36.09,1068.942034482956
CNN_VGG16,36,64,0.0001,0.3756367968171454,5.128555563604756,87.68,35.56,1098.4959456920624
CNN_VGG16,37,64,0.0001,0.3462040890341677,5.625830223605891,88.914,35.59,1128.0070343017578
CNN_VGG16,38,64,0.0001,0.3353022035601956,5.415061803380395,89.158,35.86,1157.544555425644
CNN_VGG16,39,64,0.0001,0.2910438795928912,5.854860809957906,90.604,36.06,1187.181292772293
CNN_VGG16,40,64,0.0001,0.2900260807684315,5.696322416803639,90.78,36.31,1216.7939460277555
CNN_VGG16,41,64,0.0001,0.2684336546379739,5.56069751909584,91.332,37.15,1246.4182348251345
CNN_VGG16,42,64,0.0001,0.24379622638035,5.918242853917893,92.16,35.75,1276.0969231128693
CNN_VGG16,43,64,0.0001,0.254058458065838,5.736402942876148,91.842,35.44,1305.6889805793762
CNN_VGG16,44,64,0.0001,0.2292420662024899,6.047566910458219,92.536,36.41,1335.2818357944489
CNN_VGG16,45,64,0.0001,0.2192940189838981,5.998934777678957,92.966,36.64,1364.734030008316
CNN_VGG16,46,64,0.0001,0.2140878122156995,5.966074952654019,93.06,36.67,1394.2886927127838
CNN_VGG16,47,64,0.0001,0.205200421945442,6.458832443140115,93.518,36.26,1423.887924194336
CNN_VGG16,48,64,0.0001,0.2031286155966961,6.207784230542031,93.56,35.56,1453.4255497455597
CNN_VGG16,49,64,0.0001,0.1935454964413857,6.212494276131794,93.862,35.870000000000005,1483.1636500358582
CNN_VGG16,50,64,0.0001,0.183241870659201,6.2042979951117445,94.21,36.48,1512.8066473007202
CNN_VGG16,51,64,0.0001,0.1805944996874046,6.4057062477063225,94.208,37.65,1542.4839234352112
CNN_VGG16,52,64,0.0001,0.1804897077191058,6.181660454743986,94.314,36.53,1572.0718894004822
CNN_VGG16,53,64,0.0001,0.1668078401233153,6.167633342135484,94.712,36.96,1601.6505482196808
CNN_VGG16,54,64,0.0001,0.1587631273192956,6.550370015915791,94.874,37.53,1631.1562280654907
CNN_VGG16,55,64,0.0001,0.151932154058019,6.4645782504112095,95.19,36.69,1660.5887389183044
CNN_VGG16,56,64,0.0001,0.1551451572381398,6.664430147523333,95.276,37.45,1690.0415003299713
CNN_VGG16,57,64,0.0001,0.1469823880599873,6.629144878144476,95.39,37.09,1719.6040196418762
CNN_VGG16,58,64,0.0001,0.1565368528063397,6.357988357543945,95.09,37.42,1749.266014099121
CNN_VGG16,59,64,0.0001,0.1371481776740068,6.7618717722072725,95.764,37.62,1778.9043924808502
CNN_VGG16,60,64,0.0001,0.1400438799806263,6.471292275532036,95.598,37.18,1808.455362081528
CNN_VGG16,61,64,0.0001,0.1304666382365424,6.834531873654408,95.872,37.1,1838.015825510025
CNN_VGG16,62,64,0.0001,0.1324733776454825,6.716465634145554,95.804,37.71,1867.4711515903475
CNN_VGG16,63,64,0.0001,0.1261497590621776,6.588031396744357,96.022,38.440000000000005,1897.0464446544647
CNN_VGG16,64,64,0.0001,0.124230140914826,6.986870887173209,96.15,37.59,1926.525816202164
CNN_VGG16,65,64,0.0001,0.1284461436636002,6.84881057860745,95.928,37.47,1956.1019744873047
CNN_VGG16,66,64,0.0001,0.1137023227404841,6.733238016723827,96.442,38.43,1985.7564425468445
CNN_VGG16,67,64,0.0001,0.125266772640102,6.85566558351942,96.098,37.74,2015.371094942093
CNN_VGG16,68,64,0.0001,0.1103879589804202,6.908051196177294,96.456,38.15,2045.0974168777464
CNN_VGG16,69,64,0.0001,0.1126222593169135,7.041444810332766,96.518,38.7,2074.731322288513
CNN_VGG16,70,64,0.0001,0.1206831754699749,6.819397649947246,96.274,37.93,2104.430260181427
CNN_VGG16,71,64,0.0001,0.1094843092698441,7.18457490471518,96.532,38.12,2133.964713573456
CNN_VGG16,72,64,0.0001,0.1081917654214393,7.12492289816498,96.59,37.36,2163.49586892128
CNN_VGG16,73,64,0.0001,0.1041885085589707,6.815553929395737,96.788,38.0,2193.016905784607
CNN_VGG16,74,64,0.0001,0.1034109698259569,7.238330181996534,96.678,37.73,2222.6796095371246
CNN_VGG16,75,64,0.0001,0.0989944438743012,6.925320822721834,96.912,38.82,2252.167145252228
CNN_VGG16,76,64,0.0001,0.1029139675409592,6.725687611634564,96.876,39.03,2281.7319383621216
CNN_VGG16,77,64,0.0001,0.0903735715012206,6.970614788638558,97.1,38.47,2311.4003033638
CNN_VGG16,78,64,0.0001,0.1026191355093665,6.920263547046929,96.78,38.98,2341.090444087982
CNN_VGG16,79,64,0.0001,0.0961654855473124,6.554516127155085,97.036,38.9,2370.556316614151
CNN_VGG16,80,64,0.0001,0.0895106408088837,6.956714827543611,97.176,38.36,2399.8909101486206
CNN_VGG16,81,64,0.0001,0.098136319285211,6.9781711238205055,97.004,38.55,2429.2946388721466
CNN_VGG16,82,64,0.0001,0.0862102794628876,6.794688513324519,97.256,38.11,2458.7048304080963
CNN_VGG16,83,64,0.0001,0.092238639873188,7.142693735232019,97.182,38.26,2488.1736166477203
CNN_VGG16,84,64,0.0001,0.0870286186840242,6.961300263738936,97.316,38.8,2517.764813184738
CNN_VGG16,85,64,0.0001,0.0934386486789006,6.827457543391331,97.154,38.25,2547.3691368103027
CNN_VGG16,86,64,0.0001,0.0867914669772448,7.030236821265737,97.37,38.85,2576.851437807083
CNN_VGG16,87,64,0.0001,0.0770632161864834,7.5114116243496065,97.63,38.89,2606.4081330299377
CNN_VGG16,88,64,0.0001,0.0833782604472745,7.156504424514284,97.428,38.85,2635.8762867450714
CNN_VGG16,89,64,0.0001,0.0867481833431617,7.225939073380391,97.356,38.84,2665.243480682373
CNN_VGG16,90,64,0.0001,0.0720442280901567,7.442239412076914,97.736,38.39,2694.6768810749054
CNN_VGG16,91,64,0.0001,0.0817669474393548,7.117573186850092,97.508,39.66,2724.1499309539795
CNN_VGG16,92,64,0.0001,0.0787332657572177,6.744018639728522,97.618,38.79,2753.7076461315155
CNN_VGG16,93,64,0.0001,0.0793576204581805,7.21239953132192,97.512,37.41,2783.2145340442657
CNN_VGG16,94,64,0.0001,0.0786115019537551,7.969856836233928,97.582,38.24,2812.7624621391296
CNN_VGG16,95,64,0.0001,0.0818337386029193,7.18614715527577,97.57,38.64,2842.445526361465
CNN_VGG16,96,64,0.0001,0.0650173006542062,7.080964922145673,98.046,39.26,2872.0678741931915
CNN_VGG16,97,64,0.0001,0.0788026742549027,6.961612853274983,97.536,39.52,2901.6293308734894
CNN_VGG16,98,64,0.0001,0.0753445216054704,6.998399980508598,97.812,39.0,2931.054759979248
CNN_VGG16,99,64,0.0001,0.0739492680124171,7.067635268922064,97.742,38.68,2960.540301799774
CNN_VGG16,100,64,0.0001,0.0709054324221547,7.016250778915016,97.838,39.21,2990.014719486237
CNN_VGG16,101,64,0.0001,0.0722636226326455,7.39703640360741,97.784,38.95,3019.5121002197266
CNN_VGG16,102,64,0.0001,0.0741185414657839,6.993351468614712,97.75,39.97,3049.077517747879
CNN_VGG16,103,64,0.0001,0.0648217214450961,7.099477303255895,97.982,39.89,3078.6125481128693
CNN_VGG16,104,64,0.0001,0.0633683049714292,6.907780969218844,98.094,39.94,3108.3065304756165
CNN_VGG16,105,64,0.0001,0.0668666844992824,7.030962382152581,97.962,39.8,3137.800266265869
CNN_VGG16,106,64,0.0001,0.0681789454047108,7.4074495218362015,97.848,39.64,3167.24457359314
CNN_VGG16,107,64,0.0001,0.0693701950010255,6.917253305957575,97.856,40.06,3196.709721803665
CNN_VGG16,108,64,0.0001,0.0630490930795329,7.049065459306073,98.094,39.88,3226.251846551895
CNN_VGG16,109,64,0.0001,0.0650398632988769,6.961014118923504,98.08,39.99,3255.6789860725403
CNN_VGG16,110,64,0.0001,0.059855164397303,7.277925260507377,98.198,39.46,3285.148068666458
CNN_VGG16,111,64,0.0001,0.0699614912960464,7.177311423477853,97.914,39.86,3314.6500930786133
CNN_VGG16,112,64,0.0001,0.0627376763662204,6.839971290272512,98.02,40.16,3344.215209007263
CNN_VGG16,113,64,0.0001,0.060515765052484,6.9573848505688325,98.158,40.02,3373.7235493659973
CNN_VGG16,114,64,0.0001,0.0594223785024914,6.953026364563377,98.176,40.18,3403.152582883835
CNN_VGG16,115,64,0.0001,0.0609383064356711,7.231504209481987,98.182,40.150000000000006,3432.512507915497
CNN_VGG16,116,64,0.0001,0.0630274788691493,7.190985624957237,98.082,40.78,3461.990715265274
CNN_VGG16,117,64,0.0001,0.0586580066111586,7.200371736174176,98.226,39.59,3491.443248033524
CNN_VGG16,118,64,0.0001,0.0576633283913985,7.7331679489961855,98.3,40.02,3520.949354171753
CNN_VGG16,119,64,0.0001,0.0578439497334413,7.060358606326353,98.322,40.98,3550.4474244117737
CNN_VGG16,120,64,0.0001,0.0589275745158914,7.531509250592274,98.272,39.93,3580.0918991565704
CNN_VGG16,121,64,0.0001,0.0602418513825821,7.322717988566988,98.192,40.11,3609.521877527237
CNN_VGG16,122,64,0.0001,0.0547018501481227,6.939400849069,98.386,40.59,3639.067060709
CNN_VGG16,123,64,0.0001,0.0597130032626928,7.076322485686867,98.284,40.53,3668.555038452149
CNN_VGG16,124,64,0.0001,0.0500467203711123,7.3679119735766365,98.49,40.1,3698.083034276962
CNN_VGG16,125,64,0.0001,0.0587410106273937,7.399875206552493,98.28,39.73,3727.606086969376
CNN_VGG16,126,64,0.0001,0.0609018295517136,7.383596617704744,98.136,39.82,3757.048697948456
CNN_VGG16,127,64,0.0001,0.0527470703380417,7.284212221765214,98.43,40.48,3786.5046622753134
